Year,Rank,University,Score,Link,Country,City,Region,Logo
2017,118,university of california|| santa barbara (ucsb),60,https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb,United States,Santa Barbara,North America,https://www.topuniversities.com/sites/default/files/university-of-california-santa-barbara-ucsb_91_small.jpg
2017,296,university of california|| santa cruz,38,https://www.topuniversities.com/universities/university-california-santa-cruz,United States,Santa Cruz,North America,https://www.topuniversities.com/sites/default/files/university-of-california-santa-cruz_92_small.jpg
2017,4,university of cambridge,98,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg
2017,214,university of canterbury,46,https://www.topuniversities.com/universities/university-canterbury,New Zealand,Christchurch,Oceania,https://www.topuniversities.com/sites/default/files/university-of-canterbury_97_small.jpg
2017,191,university of cape town,48,https://www.topuniversities.com/universities/university-cape-town,South Africa,Cape Town,Africa,https://www.topuniversities.com/sites/default/files/uct-graduate-school-of-business_592560cf2aeae70239af4ae5_small.jpg
2017,10,university of chicago,93,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg
2017,347,university of cologne,34,https://www.topuniversities.com/universities/university-cologne,Germany,Cologne,Europe,https://www.topuniversities.com/sites/default/files/university-of-cologne_592560cf2aeae70239af4bc6_small.jpg
2017,170,university of colorado boulder,52,https://www.topuniversities.com/universities/university-colorado-boulder,United States,Boulder,North America,https://www.topuniversities.com/sites/default/files/university-of-colorado-boulder_137_small.jpg
2017,374,university of colorado|| denver ,32,https://www.topuniversities.com/universities/university-colorado-denver,United States,Denver,North America,https://www.topuniversities.com/sites/default/files/university-of-colorado-denver_2116_small.jpg
2017,68,university of copenhagen,71,https://www.topuniversities.com/universities/university-copenhagen,Denmark,Copenhagen,Europe,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg
2017,252,university of east anglia (uea),41,https://www.topuniversities.com/universities/university-east-anglia-uea,United Kingdom,Norwich,Europe,https://www.topuniversities.com/sites/default/files/university-of-east-anglia-uea_637_small.jpg
2017,382,university of eastern finland,32,https://www.topuniversities.com/universities/university-eastern-finland,Finland,Kuopio,Europe,https://www.topuniversities.com/sites/default/files/university-of-eastern-finland_592560cf2aeae70239af4bcb_small.jpg
2017,185,university of florida,49,https://www.topuniversities.com/universities/university-florida,United States,Gainesville,North America,https://www.topuniversities.com/sites/default/files/university-of-florida_212_small.jpg
2017,95,university of geneva,64,https://www.topuniversities.com/universities/university-geneva,Switzerland,Geneva,Europe,https://www.topuniversities.com/sites/default/files/university-of-geneva_221_small.jpg
2017,63,university of glasgow,72,https://www.topuniversities.com/universities/university-glasgow,United Kingdom,Glasgow,Europe,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg
2017,264,university of gothenburg,40,https://www.topuniversities.com/universities/university-gothenburg,Sweden,Gothenburg,Europe,https://www.topuniversities.com/sites/default/files/university-of-gothenburg_233_small.jpg
2017,113,university of groningen,60,https://www.topuniversities.com/universities/university-groningen,Netherlands,Groningen,Europe,https://www.topuniversities.com/sites/default/files/university-of-groningen_243_small.jpg
2017,177,university of g„∂ttingen,50,https://www.topuniversities.com/universities/university-gottingen,Germany,G√∂ttingen,Europe,https://www.topuniversities.com/sites/default/files/university-of-gttingen_234_small.jpg
2017,91,university of helsinki,65,https://www.topuniversities.com/universities/university-helsinki,Finland,Helsinki,Europe,https://www.topuniversities.com/sites/default/files/university-of-helsinki_260_small.jpg
2017,187,university of illinois at chicago (uic),49,https://www.topuniversities.com/universities/university-illinois-chicago-uic,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-illinois-chicago-uic_592560cf2aeae70239af4b9a_small.jpg
2017,66,university of illinois at urbana-champaign,72,https://www.topuniversities.com/universities/university-illinois-urbana-champaign,United States,Champaign,North America,https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg
2017,393,university of iowa,31,https://www.topuniversities.com/universities/university-iowa,United States,Iowa City,North America,https://www.topuniversities.com/sites/default/files/university-of-iowa_592560cf2aeae70239af4baa_small.jpg
2017,338,university of jyv„§skyl„§,35,https://www.topuniversities.com/universities/university-jyvaskyla,Finland,Jyv√§skyl√§,Europe,https://www.topuniversities.com/sites/default/files/university-of-jyvskyl_306_small.jpg
2017,373,university of kansas,32,https://www.topuniversities.com/universities/university-kansas,United States,Lawrence,North America,https://www.topuniversities.com/sites/default/files/university-of-kansas_309_small.jpg
2017,366,university of kent,33,https://www.topuniversities.com/universities/university-kent,United Kingdom,Paris,Europe,https://www.topuniversities.com/sites/default/files/university-of-kent_315_small.jpg
2017,138,university of lausanne,57,https://www.topuniversities.com/universities/university-lausanne,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/university-of-lausanne_592560cf2aeae70239af4bd3_small.jpg
2017,93,university of leeds,65,https://www.topuniversities.com/universities/university-leeds,United Kingdom,Leeds,Europe,https://www.topuniversities.com/sites/default/files/university-of-leeds_338_small.jpg
2017,239,university of leicester,43,https://www.topuniversities.com/universities/university-leicester,United Kingdom,Leicester,Europe,https://www.topuniversities.com/sites/default/files/university-of-leicester_339_small.jpg
2017,330,university of lisbon ,35,https://www.topuniversities.com/universities/university-lisbon,Portugal,Lisbon ,Europe,https://www.topuniversities.com/sites/default/files/university-of-lisbon_1475_small.jpg
